"from","to","country","new","entire"
2020-02-08,2020-02-15,"Iran",0,0
2020-02-08,2020-02-15,"Italy",0,3
2020-02-08,2020-02-15,"Spain",1,2
2020-02-08,2020-02-15,"US",2,13
2020-02-08,2020-02-15,"United Kingdom",5,18
2020-02-09,2020-02-16,"China",30684,70513
2020-02-09,2020-02-16,"France",1,12
2020-02-09,2020-02-16,"Germany",2,16
2020-02-09,2020-02-16,"Iran",0,0
2020-02-09,2020-02-16,"Italy",0,3
2020-02-09,2020-02-16,"Spain",0,2
2020-02-09,2020-02-16,"US",2,13
2020-02-09,2020-02-16,"United Kingdom",4,18
2020-02-10,2020-02-17,"China",30080,72434
2020-02-10,2020-02-17,"France",1,12
2020-02-10,2020-02-17,"Germany",2,16
2020-02-10,2020-02-17,"Iran",0,0
2020-02-10,2020-02-17,"Italy",0,3
2020-02-10,2020-02-17,"Spain",0,2
2020-02-10,2020-02-17,"US",2,13
2020-02-10,2020-02-17,"United Kingdom",5,19
2020-02-11,2020-02-18,"China",29825,74211
2020-02-11,2020-02-18,"France",1,12
2020-02-11,2020-02-18,"Germany",0,16
2020-02-11,2020-02-18,"Iran",0,0
2020-02-11,2020-02-18,"Italy",0,3
2020-02-11,2020-02-18,"Spain",0,2
2020-02-11,2020-02-18,"US",1,13
2020-02-11,2020-02-18,"United Kingdom",4,19
2020-02-12,2020-02-19,"China",29860,74619
2020-02-12,2020-02-19,"France",1,12
2020-02-12,2020-02-19,"Germany",0,16
2020-02-12,2020-02-19,"Iran",2,2
2020-02-12,2020-02-19,"Italy",0,3
2020-02-12,2020-02-19,"Spain",0,2
2020-02-12,2020-02-19,"US",1,13
2020-02-12,2020-02-19,"United Kingdom",4,20
2020-02-13,2020-02-20,"China",15182,75077
2020-02-13,2020-02-20,"France",1,12
2020-02-13,2020-02-20,"Germany",0,16
2020-02-13,2020-02-20,"Iran",5,5
2020-02-13,2020-02-20,"Italy",0,3
2020-02-13,2020-02-20,"Spain",0,2
2020-02-13,2020-02-20,"US",0,13
2020-02-13,2020-02-20,"United Kingdom",5,22
2020-02-14,2020-02-21,"China",9192,75550
2020-02-14,2020-02-21,"France",1,12
2020-02-14,2020-02-21,"Germany",0,16
2020-02-14,2020-02-21,"Iran",18,18
2020-02-14,2020-02-21,"Italy",17,20
2020-02-14,2020-02-21,"Spain",0,2
2020-02-14,2020-02-21,"US",2,15
2020-02-14,2020-02-21,"United Kingdom",5,23
2020-02-15,2020-02-22,"China",8588,77001
2020-02-15,2020-02-22,"France",0,12
2020-02-15,2020-02-22,"Germany",0,16
2020-02-15,2020-02-22,"Iran",28,28
2020-02-15,2020-02-22,"Italy",59,62
2020-02-15,2020-02-22,"Spain",0,2
2020-02-15,2020-02-22,"US",2,15
2020-02-15,2020-02-22,"United Kingdom",5,23
2020-02-16,2020-02-23,"China",6509,77022
2020-02-16,2020-02-23,"France",0,12
2020-02-16,2020-02-23,"Germany",0,16
2020-02-16,2020-02-23,"Iran",43,43
2020-02-16,2020-02-23,"Italy",152,155
2020-02-16,2020-02-23,"Spain",0,2
2020-02-16,2020-02-23,"US",2,15
2020-02-16,2020-02-23,"United Kingdom",10,28
2020-02-17,2020-02-24,"China",4807,77241
2020-02-17,2020-02-24,"France",0,12
2020-02-17,2020-02-24,"Germany",0,16
2020-02-17,2020-02-24,"Iran",61,61
2020-02-17,2020-02-24,"Italy",226,229
2020-02-17,2020-02-24,"Spain",0,2
2020-02-17,2020-02-24,"US",2,15
2020-02-17,2020-02-24,"United Kingdom",11,30
2020-02-18,2020-02-25,"China",3543,77754
2020-02-18,2020-02-25,"France",2,14
2020-02-18,2020-02-25,"Germany",1,17
2020-02-18,2020-02-25,"Iran",95,95
2020-02-18,2020-02-25,"Italy",319,322
2020-02-18,2020-02-25,"Spain",4,6
2020-02-18,2020-02-25,"US",2,15
2020-02-18,2020-02-25,"United Kingdom",15,34
2020-02-19,2020-02-26,"China",3547,78166
2020-02-19,2020-02-26,"France",6,18
2020-02-19,2020-02-26,"Germany",11,27
2020-02-19,2020-02-26,"Iran",137,139
2020-02-19,2020-02-26,"Italy",450,453
2020-02-19,2020-02-26,"Spain",11,13
2020-02-19,2020-02-26,"US",2,15
2020-02-19,2020-02-26,"United Kingdom",17,37
2020-02-20,2020-02-27,"China",3523,78600
2020-02-20,2020-02-27,"France",26,38
2020-02-20,2020-02-27,"Germany",30,46
2020-02-20,2020-02-27,"Iran",240,245
2020-02-20,2020-02-27,"Italy",652,655
2020-02-20,2020-02-27,"Spain",13,15
2020-02-20,2020-02-27,"US",3,16
2020-02-20,2020-02-27,"United Kingdom",22,44
2020-02-21,2020-02-28,"China",3378,78928
2020-02-21,2020-02-28,"France",45,57
2020-02-21,2020-02-28,"Germany",32,48
2020-02-21,2020-02-28,"Iran",370,388
2020-02-21,2020-02-28,"Italy",868,888
2020-02-21,2020-02-28,"Spain",30,32
2020-02-21,2020-02-28,"US",1,16
2020-02-21,2020-02-28,"United Kingdom",33,56
2020-02-22,2020-02-29,"China",2355,79356
2020-02-22,2020-02-29,"France",88,100
2020-02-22,2020-02-29,"Germany",63,79
2020-02-22,2020-02-29,"Iran",565,593
2020-02-22,2020-02-29,"Italy",1066,1128
2020-02-22,2020-02-29,"Spain",43,45
